year,department,couse_num,course_name,prof_id,prof_fname,prof_lname
2021,CSCI,1200,INTRO TO COMPUTING,lnariso,Liz,Naris
2021,CSCI,1300,COMP SCI I: PROGRAMMING,nscollan0,Nicky,Scollan
2021,CSCI,1300,COMP SCI I: PROGRAMMING,rfauning4,Rene,Fauning
2021,CSCI,1300,COMP SCI I: PROGRAMMING,dblakelockl,Daisey,Blakelock
2021,CSCI,2270,COMP SCI II: DATA STRUCT,llytellf,Lesly,Lytell
2021,CSCI,2270,COMP SCI II: DATA STRUCT,ajohnson,Alex,Johnson
2021,CSCI,2830,SP TPS-INTRO COMP SCI,wriordanc,Waverley,Riordan
2021,CSCI,3104,ALGORITHMS,mchazelasa,Mufi,Chazelas
2021,CSCI,3155,PRINCIP OF PROG LANGS,adummigan2,Alanah,Dummigan
2021,CSCI,3202,INTRO ARTIFICIAL INTELL,ffernyhoughj,Florette,Fernyhough
2021,CSCI,3287,DATABASES INFO SYSTEMS,nscollan0,Nicky,Scollan
2021,CSCI,3308,SOFTWARE ENG METHODS,jcupitt6,Judas,Cupitt
2021,CSCI,3434,COMPUTER SCIENCE THRY 1,ffernyhoughj,Florette,Fernyhough
2021,CSCI,3656,NUMERICAL COMP 1,tgranhami,Terrence,Granham
2021,CSCI,3702,COGNITIVE SCIENCE,ffernyhoughj,Florette,Fernyhough
2021,CSCI,4229,COMPUTER GRAPHICS,ggounyn,Gerri,Gouny
2021,CSCI,4273,NETWORK SYSTEMS,ffernyhoughj,Florette,Fernyhough
2021,CSCI,4308,SOFTWARE ENG PROJECT 1,tjeary8,Trina,Jeary
2021,CSCI,4448,OO ANALYSIS & DESIGN,atromans1,Ashlen,Tromans
2021,CSCI,4830,SPECIAL TOPICS COMP SCI,esigsworthh,Emmaline,Sigsworth
2021,CSCI,4838,USER INTERFACE DESIGN,iantczak9,Ibbie,Antczak
2021,CSCI,5444,INTRO TO THEORY OF COMP,adummigan2,Alanah,Dummigan
2021,CSCI,5582,ARTIFICIAL INTELLIGENCE,tattersollm,Teodora,Attersoll
2021,CSCI,5606,PRIN OF NUM COMPUTATION,lnariso,Liz,Naris
2021,CSCI,5622,MACHINE LEARNING,wriordanc,Waverley,Riordan
2021,CSCI,7900,IND STDY-DOCTOR'S LEVEL,esigsworthh,Emmaline,Sigsworth
2020,CSCI,1200,INTRO TO COMPUTING,ependlebury3,Earlie,Pendlebury
2020,CSCI,1300,COMP SCI I: PROGRAMMING,yblaxtong,Yuma,Blaxton
2020,CSCI,2270,COMP SCI II: DATA STRUCT,yblaxtong,Yuma,Blaxton
2020,CSCI,3104,ALGORITHMS,esigsworthh,Emmaline,Sigsworth
2020,CSCI,3155,PRINCIP OF PROG LANGS,lnariso,Liz,Naris
2020,CSCI,3434,COMPUTER SCIENCE THRY 1,ifredi5,Imogen,Fredi
2020,CSCI,3656,NUMERICAL COMP 1,iantczak9,Ibbie,Antczak
2020,CSCI,3753,OPERATING SYSTEMS,adummigan2,Alanah,Dummigan
2020,CSCI,4113,UNIX SYSTEM ADMIN,atromans1,Ashlen,Tromans
2020,CSCI,4273,NETWORK SYSTEMS,fhamorb,Fidela,Hamor
2020,CSCI,4318,SOFTWARE ENG PROJECT 2,ffernyhoughj,Florette,Fernyhough
2020,CSCI,4753,COMP PERFORM MODELING,atromans1,Ashlen,Tromans
2020,CSCI,4830,TPC-DESIGN LRN COLLABOR,tjeary8,Trina,Jeary
2020,CSCI,5454,DESIGN ANLYS OF ALGOS,nscollan0,Nicky,Scollan
2020,CSCI,5817,DATABASE SYSTEMS,phaylesk,Pip,Hayles
2020,CSCI,5828,FOUNDATIONS/SFTWARE ENGR,yblaxtong,Yuma,Blaxton
2020,CSCI,5832,NATURAL LANG PROCESSING,fhamorb,Fidela,Hamor
2020,CSCI,6448,OO ANALYSIS & DESIGN,tgranhami,Terrence,Granham
2020,CSCI,7222,TPCS NONSYMBOLIC AI,ffernyhoughj,Florette,Fernyhough
2020,CSCI,7772,TPCS-COGNITIVE SCIENCE,llytellf,Lesly,Lytell
2019,CSCI,1000,CS AS FIELD OF WK & STDY,zanscottd,Zorah,Anscott
2019,CSCI,1220,VR: INTRO TO COMP SCI,fhamorb,Fidela,Hamor
2019,CSCI,1300,COMP SCI I: PROGRAMMING,fhamorb,Fidela,Hamor
2019,CSCI,1300,COMP SCI I: PROGRAMMING,dblakelockl,Daisey,Blakelock
2019,CSCI,2270,COMP SCI II: DATA STRUCT,ependlebury3,Earlie,Pendlebury
2019,CSCI,2270,COMP SCI II: DATA STRUCT,ajohnson,Alex,Johnson
2019,CSCI,2830,SP TPS-LIN ALG COMP SCI,ffernyhoughj,Florette,Fernyhough
2019,CSCI,3104,ALGORITHMS,dblakelockl,Daisey,Blakelock
2019,CSCI,3155,PRINCIP OF PROG LANGS,esigsworthh,Emmaline,Sigsworth
2019,CSCI,3202,INTRO ARTIFICIAL INTELL,tgranhami,Terrence,Granham
2019,CSCI,3287,DATABASES INFO SYSTEMS,zanscottd,Zorah,Anscott
2019,CSCI,3308,SOFTWARE ENG METHODS,ifredi5,Imogen,Fredi
2019,CSCI,3434,THEORY OF COMPUTATION,tattersollm,Teodora,Attersoll
2019,CSCI,3702,COGNITIVE SCIENCE,atromans1,Ashlen,Tromans
2019,CSCI,4229,COMPUTER GRAPHICS,ependlebury3,Earlie,Pendlebury
2019,CSCI,4273,NETWORK SYSTEMS,wriordanc,Waverley,Riordan
2019,CSCI,4308,SOFTWARE ENG PROJECT 1,esigsworthh,Emmaline,Sigsworth
2019,CSCI,4448,OO ANALYSIS & DESIGN,tjeary8,Trina,Jeary
2019,CSCI,4555,INTRO TO COMPILER CONSTR,zanscottd,Zorah,Anscott
2019,CSCI,4830,TPC-ANIMATION/EVERYONE,ifredi5,Imogen,Fredi
2019,CSCI,4838,USER INTERFACE DESIGN,ffernyhoughj,Florette,Fernyhough
2019,CSCI,5444,INTRO TO THEORY OF COMP,phaylesk,Pip,Hayles
2019,CSCI,5535,FUND CONCEPTS/PROG LANG,zanscottd,Zorah,Anscott
2019,CSCI,5548,SW ENG OF STNDALNE PROGS,rfauning4,Rene,Fauning
2019,CSCI,5576,HIGH-PERF SCI COMPUTING,adummigan2,Alanah,Dummigan
2019,CSCI,5582,ARTIFICIAL INTELLIGENCE,ggounyn,Gerri,Gouny
2019,CSCI,5606,PRIN OF NUM COMPUTATION,tgranhami,Terrence,Granham
2019,CSCI,5654,LINEAR PROGRAM,llytellf,Lesly,Lytell
2019,CSCI,6268,NETWORK SECURITY,tjeary8,Trina,Jeary
2019,CSCI,7000,TP-INFORMATION RETRIEVAL,nscollan0,Nicky,Scollan
2019,CSCI,7000,CUR TPS-GROUPWARE,lfullick7,Lester,Fullick
2019,CSCI,7143,TPC-MOBIL COMPUTING,ifredi5,Imogen,Fredi
2019,CSCI,7900,DOCTOR'S LEVEL IND STDY,tgranhami,Terrence,Granham
2018,CSCI,1240,COMPUTATIONAL WORLD,lfullick7,Lester,Fullick
2018,CSCI,1300,COMP SCI I: PROGRAMMING,adummigan2,Alanah,Dummigan
2018,CSCI,2270,COMP SCI II: DATA STRUCT,phaylesk,Pip,Hayles
2018,CSCI,2270,COMP SCI II: DATA STRUCT,ajohnson,Alex,Johnson
2018,CSCI,2400,COMPUTER SYSTEMS,phaylesk,Pip,Hayles
2018,CSCI,3104,ALGORITHMS,adummigan2,Alanah,Dummigan
2018,CSCI,3155,PRINCIP OF PROG LANGS,ggounyn,Gerri,Gouny
2018,CSCI,3434,THEORY OF COMPUTATION,ggounyn,Gerri,Gouny
2018,CSCI,3656,NUMERICAL COMP 1,lfullick7,Lester,Fullick
2018,CSCI,3753,OPERATING SYSTEMS,tgranhami,Terrence,Granham
2018,CSCI,4113,UNIX SYSTEM ADMIN,ependlebury3,Earlie,Pendlebury
2018,CSCI,4273,NETWORK SYSTEMS,jcupitt6,Judas,Cupitt
2018,CSCI,4314,ALGORITHMS: MOLECULARBIO,lnariso,Liz,Naris
2018,CSCI,4318,SOFTWARE ENG PROJECT 2,tjeary8,Trina,Jeary
2018,CSCI,4446,CHAOTIC DYNAMICS,ependlebury3,Earlie,Pendlebury
2018,CSCI,4830,SP TPS-THINGS THAT THINK,adummigan2,Alanah,Dummigan
2018,CSCI,4830,TPC-CS-GAME PROGRAMMING,wriordanc,Waverley,Riordan
2018,CSCI,4830,TPC-COGNITIVE MODELING,mchazelasa,Mufi,Chazelas
2018,CSCI,4830,OPN SPC DEV MOBL PTLFRM,zanscottd,Zorah,Anscott
2018,CSCI,4838,USER INTERFACE DESIGN,zanscottd,Zorah,Anscott
2018,CSCI,5454,DESIGN ANLYS OF ALGOS,phaylesk,Pip,Hayles
2018,CSCI,5622,MACHINE LEARNING,esigsworthh,Emmaline,Sigsworth
2018,CSCI,5673,DISTRIBUTED SYSTEMS,mchazelasa,Mufi,Chazelas
2018,CSCI,5722,COMPUTER VISION,lnariso,Liz,Naris
2018,CSCI,5817,DATABASE SYSTEMS,atromans1,Ashlen,Tromans
2018,CSCI,5828,FOUNDATIONS/SFTWARE ENGR,llytellf,Lesly,Lytell
2018,CSCI,5832,NATURAL LANG PROCESSING,nscollan0,Nicky,Scollan
2017,CSCI,1000,CS AS FIELD OF WK & STDY,tjeary8,Trina,Jeary
2017,CSCI,1220,VR: INTRO TO COMP SCI,esigsworthh,Emmaline,Sigsworth
2017,CSCI,1300,COMP SCI I: PROGRAMMING,zanscottd,Zorah,Anscott
2017,CSCI,1300,COMP SCI I: PROGRAMMING,yblaxtong,Yuma,Blaxton
2017,CSCI,2270,COMP SCI II: DATA STRUCT,dblakelockl,Daisey,Blakelock
2017,CSCI,2400,COMPUTER SYSTEMS,zanscottd,Zorah,Anscott
2017,CSCI,2830,SP TPS-LIN ALG COMP SCI,rfauning4,Rene,Fauning
2017,CSCI,3002,DSS FOUNDATIONS,ifredi5,Imogen,Fredi
2017,CSCI,3104,ALGORITHMS,yblaxtong,Yuma,Blaxton
2017,CSCI,3155,PRINCIP OF PROG LANGS,mchazelasa,Mufi,Chazelas
2017,CSCI,3202,INTRO ARTIFICIAL INTELL,tgranhami,Terrence,Granham
2017,CSCI,3287,DATABASES INFO SYSTEMS,phaylesk,Pip,Hayles
2017,CSCI,3308,SOFTWARE ENG METHODS,phaylesk,Pip,Hayles
2017,CSCI,3434,THEORY OF COMPUTATION,tjeary8,Trina,Jeary
2017,CSCI,3702,COGNITIVE SCIENCE,phaylesk,Pip,Hayles
2017,CSCI,3702,COGNITIVE SCIENCE,yblaxtong,Yuma,Blaxton
2017,CSCI,4123,NETWORK LAB,iantczak9,Ibbie,Antczak
2017,CSCI,4229,COMPUTER GRAPHICS,tgranhami,Terrence,Granham
2017,CSCI,4273,NETWORK SYSTEMS,ependlebury3,Earlie,Pendlebury
2017,CSCI,4308,SOFTWARE ENG PROJECT 1,rfauning4,Rene,Fauning
2017,CSCI,4312,MEDICAL INFORMATICS,mchazelasa,Mufi,Chazelas
2017,CSCI,4314,ALGORITHMS: MOLECULARBIO,rfauning4,Rene,Fauning
2017,CSCI,4448,OO ANALYSIS & DESIGN,iantczak9,Ibbie,Antczak
2017,CSCI,4809,COMPUTER ANIMATION,llytellf,Lesly,Lytell
2017,CSCI,4830,SP TPS-COMP GEOMETRIES,esigsworthh,Emmaline,Sigsworth
2017,CSCI,5444,INTRO TO THEORY OF COMP,ependlebury3,Earlie,Pendlebury
2017,CSCI,5573,ADV OPERATING SYSTEMS,bfealtye,Batsheva,Fealty
2017,CSCI,5576,HIGH-PERF SCI COMPUTING,esigsworthh,Emmaline,Sigsworth
2017,CSCI,5606,PRIN OF NUM COMPUTATION,jcupitt6,Judas,Cupitt
2017,CSCI,5622,MACHINE LEARNING,nscollan0,Nicky,Scollan
2017,CSCI,6000,NEW PHD,ifredi5,Imogen,Fredi
2017,CSCI,7000,TP-INFORMATION RETRIEVAL,atromans1,Ashlen,Tromans
2017,CSCI,7000,HCI: SURVEY & SYNTHESIS,phaylesk,Pip,Hayles
2017,CSCI,7818,TPCS/SOFTWARE ENGINEER,jcupitt6,Judas,Cupitt
2016,CSCI,1240,COMPUTATIONAL WORLD,dblakelockl,Daisey,Blakelock
2016,CSCI,1300,COMP SCI I: PROGRAMMING,atromans1,Ashlen,Tromans
2016,CSCI,2270,COMP SCI II: DATA STRUCT,tgranhami,Terrence,Granham
2016,CSCI,2824,DISCRETE STRUCTURES,llytellf,Lesly,Lytell
2016,CSCI,3104,ALGORITHMS,ggounyn,Gerri,Gouny
2016,CSCI,3112,DSS PROFESSIONAL DEV,ifredi5,Imogen,Fredi
2016,CSCI,3155,PRINCIP OF PROG LANGS,tgranhami,Terrence,Granham
2016,CSCI,3434,THEORY OF COMPUTATION,iantczak9,Ibbie,Antczak
2016,CSCI,3656,NUMERICAL COMP 1,llytellf,Lesly,Lytell
2016,CSCI,3753,OPERATING SYSTEMS,esigsworthh,Emmaline,Sigsworth
2016,CSCI,4113,UNIX SYSTEM ADMIN,phaylesk,Pip,Hayles
2016,CSCI,4133,SECURITY LAB,ifredi5,Imogen,Fredi
2016,CSCI,4318,SOFTWARE ENG PROJECT 2,mchazelasa,Mufi,Chazelas
2016,CSCI,4412,DESIGN CREATIVITY,atromans1,Ashlen,Tromans
2016,CSCI,4446,CHAOTIC DYNAMICS,iantczak9,Ibbie,Antczak
2016,CSCI,4753,COMP PERFORM MODELING,mchazelasa,Mufi,Chazelas
2016,CSCI,4830,DATA MINING,tgranhami,Terrence,Granham
2016,CSCI,4830,TPC-GAME PROGRAMMING,wriordanc,Waverley,Riordan
2016,CSCI,4830,ADV COMPUTER GRAPHICS,yblaxtong,Yuma,Blaxton
2016,CSCI,4838,USER INTERFACE DESIGN,tgranhami,Terrence,Granham
2016,CSCI,5454,DESIGN ANLYS OF ALGOS,nscollan0,Nicky,Scollan
2016,CSCI,5673,DISTRIBUTED SYSTEMS,fhamorb,Fidela,Hamor
2016,CSCI,5817,DATABASE SYSTEMS,lnariso,Liz,Naris
2016,CSCI,5828,FOUNDATIONS/SFTWARE ENGR,phaylesk,Pip,Hayles
2016,CSCI,5832,NATURAL LANG PROCESSING,ffernyhoughj,Florette,Fernyhough
2015,CSCI,1000,CS AS FIELD OF WK & STDY,iantczak9,Ibbie,Antczak
2015,CSCI,1220,VR: INTRO TO COMP SCI,jcupitt6,Judas,Cupitt
2015,CSCI,1300,COMP SCI I: PROGRAMMING,atromans1,Ashlen,Tromans
2015,CSCI,1300,COMP SCI I: PROGRAMMING,tjeary8,Trina,Jeary
2015,CSCI,2270,COMP SCI II: DATA STRUCT,dblakelockl,Daisey,Blakelock
2015,CSCI,2400,COMPUTER SYSTEMS,llytellf,Lesly,Lytell
2015,CSCI,2824,DISCRETE STRUCTURES,llytellf,Lesly,Lytell
2015,CSCI,2830,SP TPS-LIN ALG COMP SCI,ffernyhoughj,Florette,Fernyhough
2015,CSCI,3002,DSS FOUNDATIONS,jcupitt6,Judas,Cupitt
2015,CSCI,3104,ALGORITHMS,fhamorb,Fidela,Hamor
2015,CSCI,3112,DSS PROFESSIONAL DEV,tattersollm,Teodora,Attersoll
2015,CSCI,3155,PRINCIP OF PROG LANGS,zanscottd,Zorah,Anscott
2015,CSCI,3202,INTRO ARTIFICIAL INTELL,lfullick7,Lester,Fullick
2015,CSCI,3287,DATABASES INFO SYSTEMS,fhamorb,Fidela,Hamor
2015,CSCI,3434,THEORY OF COMPUTATION,iantczak9,Ibbie,Antczak
2015,CSCI,3702,COGNITIVE SCIENCE,ependlebury3,Earlie,Pendlebury
2015,CSCI,3702,COGNITIVE SCIENCE,adummigan2,Alanah,Dummigan
2015,CSCI,4229,COMPUTER GRAPHICS,yblaxtong,Yuma,Blaxton
2015,CSCI,4273,NETWORK SYSTEMS,ffernyhoughj,Florette,Fernyhough
2015,CSCI,4308,SOFTWARE ENG PROJECT 1,zanscottd,Zorah,Anscott
2015,CSCI,4314,ALGORITHMS: MOLECULARBIO,phaylesk,Pip,Hayles
2015,CSCI,4342,GROUPWARE AND WORKFLOW,bfealtye,Batsheva,Fealty
2015,CSCI,4448,OO ANALYSIS & DESIGN,iantczak9,Ibbie,Antczak
2015,CSCI,4809,COMPUTER ANIMATION,dblakelockl,Daisey,Blakelock
2015,CSCI,4830,TPC-MULTI-ROBOT SYSTEMS,phaylesk,Pip,Hayles
2015,CSCI,5417,INFORMATION RETRIEVAL,dblakelockl,Daisey,Blakelock
2015,CSCI,5573,ADV OPERATING SYSTEMS,dblakelockl,Daisey,Blakelock
2015,CSCI,5622,MACHINE LEARNING,yblaxtong,Yuma,Blaxton
2015,CSCI,5919,HUMAN COMPUTER INTERACTN,phaylesk,Pip,Hayles
2015,CSCI,6000,NEW PHD,zanscottd,Zorah,Anscott
2015,CSCI,6268,NETWORK SECURITY,jcupitt6,Judas,Cupitt
2014,CSCI,1240,COMPUTATIONAL WORLD,dblakelockl,Daisey,Blakelock
2014,CSCI,1300,COMP SCI I: PROGRAMMING,mchazelasa,Mufi,Chazelas
2014,CSCI,2270,COMP SCI II: DATA STRUCT,yblaxtong,Yuma,Blaxton
2014,CSCI,2824,DISCRETE STRUCTURES,adummigan2,Alanah,Dummigan
2014,CSCI,3104,ALGORITHMS,yblaxtong,Yuma,Blaxton
2014,CSCI,3112,DSS PROFESSIONAL DEV,mchazelasa,Mufi,Chazelas
2014,CSCI,3155,PRINCIP OF PROG LANGS,rfauning4,Rene,Fauning
2014,CSCI,3308,SOFTWARE ENG METHODS,fhamorb,Fidela,Hamor
2014,CSCI,3656,NUMERICAL COMP 1,tgranhami,Terrence,Granham
2014,CSCI,3753,OPERATING SYSTEMS,adummigan2,Alanah,Dummigan
2014,CSCI,4113,UNIX SYSTEM ADMIN,wriordanc,Waverley,Riordan
2014,CSCI,4123,NETWORK LAB,fhamorb,Fidela,Hamor
2014,CSCI,4318,SOFTWARE ENG PROJECT 2,ependlebury3,Earlie,Pendlebury
2014,CSCI,4446,CHAOTIC DYNAMICS,tgranhami,Terrence,Granham
2014,CSCI,4830,NATURAL COMPUTING,bfealtye,Batsheva,Fealty
2014,CSCI,4830,TPC-GAMES FOR HEALTH,lnariso,Liz,Naris
2014,CSCI,4830,DATA MINING,rfauning4,Rene,Fauning
2014,CSCI,4830,TPC-GAME PROGRAMMING,tgranhami,Terrence,Granham
2014,CSCI,4830,INTRODUCTION TO ROBOTICS,jcupitt6,Judas,Cupitt
2014,CSCI,4839,USER CENTERED DESIGN,fhamorb,Fidela,Hamor
2014,CSCI,5454,DESIGN ANLYS OF ALGOS,tgranhami,Terrence,Granham
2014,CSCI,5535,FUND CONCEPTS/PROG LANG,zanscottd,Zorah,Anscott
2014,CSCI,5576,HIGH-PERF SCI COMP 1,ffernyhoughj,Florette,Fernyhough
2014,CSCI,5673,DISTRIBUTED SYSTEMS,bfealtye,Batsheva,Fealty
2014,CSCI,5817,DATABASE SYSTEMS,nscollan0,Nicky,Scollan
2014,CSCI,5828,FOUNDATIONS/SFTWARE ENGR,tjeary8,Trina,Jeary
2014,CSCI,5832,NATURAL LANG PROCESSING,tattersollm,Teodora,Attersoll
2014,CSCI,7000,TPC-CRYTPOGRAPHY,esigsworthh,Emmaline,Sigsworth
2014,CSCI,7772,TPCS-COGNITIVE SCIENCE,ggounyn,Gerri,Gouny
2013,CSCI,1000,Computer Science as a Field of Work and Study,iantczak9,Ibbie,Antczak
2013,CSCI,1300,Computer Science 1: Programming,fhamorb,Fidela,Hamor
2013,CSCI,1300,Computer Science 1: Programming,esigsworthh,Emmaline,Sigsworth
2013,CSCI,2270,Computer Science 2: Data Structures,jcupitt6,Judas,Cupitt
2013,CSCI,2400,Computer Systems,tgranhami,Terrence,Granham
2013,CSCI,2824,Discrete Structures,zanscottd,Zorah,Anscott
2013,CSCI,2830,Special Topics in Computer Science,mchazelasa,Mufi,Chazelas
2013,CSCI,3002,Human-Centered Computing Foundations,ependlebury3,Earlie,Pendlebury
2013,CSCI,3104,Algorithms,zanscottd,Zorah,Anscott
2013,CSCI,3112,Human-Centered Computing Professional Development,llytellf,Lesly,Lytell
2013,CSCI,3202,Introduction to Artificial Intelligence,rfauning4,Rene,Fauning
2013,CSCI,3287,Database and Information Systems,fhamorb,Fidela,Hamor
2013,CSCI,3308,Software Engineering Methods and Tools,iantczak9,Ibbie,Antczak
2013,CSCI,3702,Cognitive Science,bfealtye,Batsheva,Fealty
2013,CSCI,3702,Cognitive Science,llytellf,Lesly,Lytell
2013,CSCI,4202,Artificial Intelligence 2,zanscottd,Zorah,Anscott
2013,CSCI,4229,Computer Graphics,tgranhami,Terrence,Granham
2013,CSCI,4273,Network Systems,ggounyn,Gerri,Gouny
2013,CSCI,4308,Software Engineering Project 1,lfullick7,Lester,Fullick
2013,CSCI,4314,Algorithms for Molecular Biology,lnariso,Liz,Naris
